vacancy_id,profession,level,required_skills,vacancy_text
161,"Backend Developer (middle)
Компания: ООО Северный Вектор
Город: Новосибирск
Зарплата: 88483 руб.
О компании: ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• знание PostgreSQL
• знание Docker

Обязанности:
• разработка backend‑сервисов
• исправление backend‑ошибок
• работа с БД",middle,"[""postgresql"", ""docker""]",ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Работа в спокойном темпе без жесткой бюрократии.
162,"Backend Developer (middle)
Компания: АО ФинТех Решения
Город: Санкт-Петербург
Зарплата: 142843 руб.
О компании: АО ФинТех Решения разрабатывает продукты для финансового сектора. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• знание Python
• знание Docker
• умение работать в команде

Обязанности:
• разработка backend‑сервисов
• поддержка API
• работа с БД",middle,"[""python"", ""docker"", ""умение работать в команде""]","АО ФинТех Решения разрабатывает продукты для финансового сектора. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
163,"Frontend Developer (middle)
Компания: ИП Миронов
Город: Екатеринбург
Зарплата: 145520 руб.
О компании: ИП Миронов поддерживает небольшие внутренние web‑проекты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• знание Git
• знание REST API
• умение работать в команде

Обязанности:
• поддержка существующего frontend
• работа с API
• участие в командной разработке

Будет плюсом: опыт работы в небольшой команде",middle,"[""git"", ""rest api"", ""умение работать в команде""]","ИП Миронов поддерживает небольшие внутренние web‑проекты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
164,"Backend Developer (junior)
Компания: АО Медиа Платформа
Город: Екатеринбург
Зарплата: 64650 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• знание PostgreSQL
• знание Python
• знание Docker
• умение работать в команде

Обязанности:
• исправление backend‑ошибок
• работа с БД
• поддержка API

Будет плюсом: опыт взаимодействия со смежными отделами",junior,"[""postgresql"", ""python"", ""docker"", ""умение работать в команде""]","АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
165,"Backend Developer (junior)
Компания: АО ФинТех Решения
Город: Санкт-Петербург
Зарплата: 75967 руб.
О компании: АО ФинТех Решения разрабатывает продукты для финансового сектора. Нужен человек для поддержки текущих задач.
Требования:
• опыт работы от 6 месяцев
• знание Docker
• знание Python
• знание PostgreSQL
• знание FastAPI
• умение работать в команде
• внимательность к задачам

Обязанности:
• поддержка API
• исправление backend‑ошибок
• работа с БД",junior,"[""docker"", ""python"", ""postgresql"", ""fastapi"", ""умение работать в команде"", ""внимательность к задачам""]",АО ФинТех Решения разрабатывает продукты для финансового сектора. Нужен человек для поддержки текущих задач.
166,"Системный администратор (junior)
Компания: ООО Проф Маркет
Город: Казань
Зарплата: 69800 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 6 месяцев
• знание Linux
• знание Zabbix
• знание Bash
• знание VPN
• умение работать в команде

Обязанности:
• решение технических проблем
• поддержка серверов
• настройка рабочих мест",junior,"[""linux"", ""zabbix"", ""bash"", ""vpn"", ""умение работать в команде""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
167,"QA Engineer (senior)
Компания: АО ФинТех Решения
Город: Новосибирск
Зарплата: 177658 руб.
О компании: АО ФинТех Решения разрабатывает продукты для финансового сектора. Ищем специалиста в небольшую команду.
Требования:
• опыт работы от 4 лет
• знание Postman
• знание API testing
• знание Jira
• знание SQL
• умение работать в команде
• внимательность к задачам

Обязанности:
• ручное тестирование web‑приложений
• регрессионное тестирование
• оформление баг‑репортов",senior,"[""postman"", ""api testing"", ""jira"", ""sql"", ""умение работать в команде"", ""внимательность к задачам""]",АО ФинТех Решения разрабатывает продукты для финансового сектора. Ищем специалиста в небольшую команду.
168,"HR-менеджер (junior)
Компания: ООО Северный Вектор
Город: Санкт-Петербург
Зарплата: 52508 руб.
О компании: ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Нужен человек для поддержки текущих задач.
Требования:
• опыт работы от 6 месяцев
• знание подбор персонала
• знание ATS
• умение работать в команде

Обязанности:
• ведение базы кандидатов
• проведение интервью
• взаимодействие с руководителями",junior,"[""подбор персонала"", ""ats"", ""умение работать в команде""]",ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Нужен человек для поддержки текущих задач.
169,"Backend Developer (middle)
Компания: ООО Северный Вектор
Город: Новосибирск
Зарплата: 135201 руб.
О компании: ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 2 лет
• знание FastAPI
• знание Docker
• внимательность к задачам

Обязанности:
• разработка backend‑сервисов
• работа с БД
• исправление backend‑ошибок",middle,"[""fastapi"", ""docker"", ""внимательность к задачам""]","ООО Северный Вектор занимается внутренними IT‑сервисами и автоматизацией процессов. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
170,"Frontend Developer (middle)
Компания: ООО Онлайн Решения
Город: Санкт-Петербург
Зарплата: 102264 руб.
О компании: ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• опыт работы от 2 лет
• знание Git
• знание REST API

Обязанности:
• исправление багов
• участие в командной разработке
• работа с API",middle,"[""git"", ""rest api""]","ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
171,"QA Engineer (senior)
Компания: ООО Городской Сервис
Город: Москва
Зарплата: 191308 руб.
О компании: ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Нужен человек для поддержки текущих задач.
Требования:
• опыт работы от 4 лет
• знание SQL
• знание Postman

Обязанности:
• оформление баг‑репортов
• проверка API
• ручное тестирование web‑приложений",senior,"[""sql"", ""postman""]",ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Нужен человек для поддержки текущих задач.
172,"HR-менеджер (middle)
Компания: ООО Точка Роста
Город: Санкт-Петербург
Зарплата: 132859 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 2 лет
• знание интервью
• знание подбор персонала
• знание ATS
• умение работать в команде

Обязанности:
• проведение интервью
• поиск кандидатов
• взаимодействие с руководителями",middle,"[""интервью"", ""подбор персонала"", ""ats"", ""умение работать в команде""]",ООО Точка Роста работает над веб‑платформами для малого бизнеса. Команда расширяется из-за роста проекта.
173,"Frontend Developer (senior)
Компания: ООО Онлайн Решения
Город: Казань
Зарплата: 182508 руб.
О компании: ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• опыт работы от 4 лет
• знание React
• знание Git
• знание TypeScript
• внимательность к задачам

Обязанности:
• поддержка существующего frontend
• участие в командной разработке
• работа с API

Будет плюсом: опыт работы в небольшой команде",senior,"[""react"", ""git"", ""typescript"", ""внимательность к задачам""]","ООО Онлайн Решения разрабатывает сервисы для автоматизации бизнеса. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
174,"HR-менеджер (junior)
Компания: АО Медиа Платформа
Город: Новосибирск
Зарплата: 62694 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• знание интервью
• знание ATS
• знание подбор персонала
• умение работать в команде

Обязанности:
• взаимодействие с руководителями
• ведение базы кандидатов
• поиск кандидатов",junior,"[""интервью"", ""ats"", ""подбор персонала"", ""умение работать в команде""]","АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
175,"Backend Developer (junior)
Компания: ООО Проф Маркет
Город: Москва
Зарплата: 75457 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• опыт работы от 6 месяцев
• знание FastAPI
• знание PostgreSQL
• знание Python
• знание Docker

Обязанности:
• работа с БД
• исправление backend‑ошибок
• разработка backend‑сервисов

Будет плюсом: понимание agile‑процессов",junior,"[""fastapi"", ""postgresql"", ""python"", ""docker""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
176,"Системный администратор (junior)
Компания: ООО Точка Роста
Город: Екатеринбург
Зарплата: 51542 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• опыт работы от 6 месяцев
• знание Zabbix
• знание VPN
• знание Linux
• внимательность к задачам

Обязанности:
• поддержка серверов
• настройка рабочих мест
• решение технических проблем

Будет плюсом: понимание agile‑процессов",junior,"[""zabbix"", ""vpn"", ""linux"", ""внимательность к задачам""]","ООО Точка Роста работает над веб‑платформами для малого бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
177,"Frontend Developer (senior)
Компания: ООО Проф Маркет
Город: Новосибирск
Зарплата: 223273 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Ищем специалиста в небольшую команду.
Требования:
• опыт работы от 4 лет
• знание React
• знание Redux
• знание TypeScript
• умение работать в команде
• внимательность к задачам

Обязанности:
• разработка пользовательских интерфейсов
• поддержка существующего frontend
• исправление багов

Будет плюсом: опыт работы в небольшой команде",senior,"[""react"", ""redux"", ""typescript"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Ищем специалиста в небольшую команду.
178,"Системный администратор (senior)
Компания: ООО Тех Лаб
Город: Екатеринбург
Зарплата: 237593 руб.
О компании: ООО Тех Лаб работает над внутренними и внешними IT‑решениями. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• знание Zabbix
• знание Linux
• внимательность к задачам

Обязанности:
• настройка рабочих мест
• решение технических проблем
• поддержка серверов

Будет плюсом: опыт работы в небольшой команде",senior,"[""zabbix"", ""linux"", ""внимательность к задачам""]","ООО Тех Лаб работает над внутренними и внешними IT‑решениями. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
179,"Frontend Developer (middle)
Компания: ООО Городской Сервис
Город: Казань
Зарплата: 100758 руб.
О компании: ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Ищем специалиста в небольшую команду.
Требования:
• опыт работы от 2 лет
• знание React
• знание TypeScript
• умение работать в команде
• внимательность к задачам

Обязанности:
• работа с API
• участие в командной разработке
• поддержка существующего frontend

Будет плюсом: опыт работы в небольшой команде",middle,"[""react"", ""typescript"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Городской Сервис развивает цифровые сервисы для городской инфраструктуры. Ищем специалиста в небольшую команду.
180,"QA Engineer (middle)
Компания: ООО Точка Роста
Город: Москва
Зарплата: 87324 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект.
Требования:
• знание SQL
• знание API testing
• знание Postman
• умение работать в команде
• внимательность к задачам

Обязанности:
• регрессионное тестирование
• проверка API
• оформление баг‑репортов",middle,"[""sql"", ""api testing"", ""postman"", ""умение работать в команде"", ""внимательность к задачам""]","ООО Точка Роста работает над веб‑платформами для малого бизнеса. У нас нет жесткого разделения задач, поэтому иногда потребуется взаимодействовать со смежными специалистами и участвовать в обсуждении технических решений. Важна адекватная коммуникация, спокойное отношение к правкам и готовность постепенно погружаться в проект."
181,"QA Engineer (middle)
Компания: ООО Тех Лаб
Город: Екатеринбург
Зарплата: 101913 руб.
О компании: ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• опыт работы от 2 лет
• знание Jira
• знание API testing
• знание SQL
• знание Postman

Обязанности:
• оформление баг‑репортов
• регрессионное тестирование
• проверка API",middle,"[""jira"", ""api testing"", ""sql"", ""postman""]",ООО Тех Лаб работает над внутренними и внешними IT‑решениями. Работа в спокойном темпе без жесткой бюрократии.
182,"QA Engineer (junior)
Компания: ООО Дата Лайн
Город: Казань
Зарплата: 67941 руб.
О компании: ООО Дата Лайн работает с аналитикой и обработкой данных. Команда расширяется из-за роста проекта.
Требования:
• опыт работы от 6 месяцев
• знание SQL
• знание Jira
• знание Postman
• умение работать в команде
• внимательность к задачам

Обязанности:
• оформление баг‑репортов
• регрессионное тестирование
• проверка API

Будет плюсом: опыт взаимодействия со смежными отделами",junior,"[""sql"", ""jira"", ""postman"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Дата Лайн работает с аналитикой и обработкой данных. Команда расширяется из-за роста проекта.
183,"QA Engineer (senior)
Компания: ООО Проф Маркет
Город: Москва
Зарплата: 173766 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание Jira
• знание SQL
• знание API testing

Обязанности:
• проверка API
• регрессионное тестирование
• ручное тестирование web‑приложений",senior,"[""jira"", ""sql"", ""api testing""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
184,"QA Engineer (junior)
Компания: АО Медиа Платформа
Город: Москва
Зарплата: 71913 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки.
Требования:
• опыт работы от 6 месяцев
• знание SQL
• знание Jira

Обязанности:
• регрессионное тестирование
• оформление баг‑репортов
• ручное тестирование web‑приложений",junior,"[""sql"", ""jira""]","АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Проект развивается уже несколько лет, поэтому часть задач связана не только с новой разработкой, но и с поддержкой текущих решений. Ищем человека, которому будет комфортно работать в команде, где многие процессы уже выстроены, но при этом регулярно появляются новые задачи и доработки."
185,"QA Engineer (middle)
Компания: ООО Точка Роста
Город: Москва
Зарплата: 83413 руб.
О компании: ООО Точка Роста работает над веб‑платформами для малого бизнеса. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 2 лет
• знание API testing
• знание SQL
• знание Jira
• знание Postman
• умение работать в команде

Обязанности:
• оформление баг‑репортов
• регрессионное тестирование
• проверка API",middle,"[""api testing"", ""sql"", ""jira"", ""postman"", ""умение работать в команде""]","ООО Точка Роста работает над веб‑платформами для малого бизнеса. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
186,"Frontend Developer (senior)
Компания: АО Медиа Платформа
Город: Екатеринбург
Зарплата: 235118 руб.
О компании: АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 4 лет
• знание Git
• знание Redux
• знание REST API
• умение работать в команде
• внимательность к задачам

Обязанности:
• исправление багов
• работа с API
• участие в командной разработке",senior,"[""git"", ""redux"", ""rest api"", ""умение работать в команде"", ""внимательность к задачам""]","АО Медиа Платформа разрабатывает внутренние и внешние digital‑продукты. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
187,"HR-менеджер (junior)
Компания: ООО Бизнес Партнер
Город: Казань
Зарплата: 58360 руб.
О компании: ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Работа в спокойном темпе без жесткой бюрократии.
Требования:
• опыт работы от 6 месяцев
• знание интервью
• знание подбор персонала
• внимательность к задачам

Обязанности:
• взаимодействие с руководителями
• поиск кандидатов
• проведение интервью

Будет плюсом: опыт работы в небольшой команде",junior,"[""интервью"", ""подбор персонала"", ""внимательность к задачам""]",ООО Бизнес Партнер автоматизирует процессы для корпоративных клиентов. Работа в спокойном темпе без жесткой бюрократии.
188,"Системный администратор (senior)
Компания: ООО Интегра Софт
Город: Казань
Зарплата: 237584 руб.
О компании: ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Нужен человек для поддержки текущих задач.
Требования:
• знание VPN
• знание Bash
• знание Zabbix
• знание Linux
• умение работать в команде
• внимательность к задачам

Обязанности:
• поддержка серверов
• настройка рабочих мест
• решение технических проблем

Будет плюсом: опыт поддержки legacy‑проектов",senior,"[""vpn"", ""bash"", ""zabbix"", ""linux"", ""умение работать в команде"", ""внимательность к задачам""]",ООО Интегра Софт занимается заказной разработкой и поддержкой корпоративных систем. Нужен человек для поддержки текущих задач.
189,"Специалист поддержки (junior)
Компания: ООО Проф Маркет
Город: Москва
Зарплата: 59748 руб.
О компании: ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте.
Требования:
• опыт работы от 6 месяцев
• знание тикеты
• знание коммуникация
• знание CRM
• умение работать в команде
• внимательность к задачам

Обязанности:
• ведение внутренней документации
• эскалация сложных инцидентов
• обработка обращений пользователей",junior,"[""тикеты"", ""коммуникация"", ""crm"", ""умение работать в команде"", ""внимательность к задачам""]","ООО Проф Маркет занимается e‑commerce и маркетинговыми сервисами. Сейчас команда постепенно расширяется из‑за роста внутренних проектов и количества задач. Большая часть работы связана с поддержкой существующих процессов, доработкой функциональности и взаимодействием с коллегами из смежных отделов. Важно спокойно относиться к рабочим изменениям и уметь разбираться в уже существующем проекте."
